symbol,name,exchange
RELIANCE,Reliance Industries,NSE
TCS,Tata Consultancy Services,NSE
HDFCBANK,HDFC Bank,NSE
ICICIBANK,ICICI Bank,NSE
INFY,Infosys,NSE
BHARTIARTL,Bharti Airtel,NSE
SBIN,State Bank of India,NSE
LICI,Life Insurance Corporation of India,NSE
ITC,ITC,NSE
HINDUNILVR,Hindustan Unilever,NSE
LT,Larsen & Toubro,NSE
BAJFINANCE,Bajaj Finance,NSE
HCLTECH,HCL Technologies,NSE
MARUTI,Maruti Suzuki India,NSE
SUNPHARMA,Sun Pharmaceutical Industries,NSE
KOTAKBANK,Kotak Mahindra Bank,NSE
AXISBANK,Axis Bank,NSE
ULTRACEMCO,UltraTech Cement,NSE
ADANIENT,Adani Enterprises,NSE
TITAN,Titan Company,NSE
ONGC,Oil & Natural Gas Corporation,NSE
NTPC,NTPC,NSE
WIPRO,Wipro,NSE
ADANIPORTS,Adani Ports and SEZ,NSE
POWERGRID,Power Grid Corporation of India,NSE
M&M,Mahindra & Mahindra,NSE
TATAMOTORS,Tata Motors,NSE
JSWSTEEL,JSW Steel,NSE
TATASTEEL,Tata Steel,NSE
COALINDIA,Coal India,NSE
BAJAJFINSV,Bajaj Finserv,NSE
NESTLEIND,Nestle India,NSE
ASIANPAINT,Asian Paints,NSE
GRASIM,Grasim Industries,NSE
HINDALCO,Hindalco Industries,NSE
TECHM,Tech Mahindra,NSE
DRREDDY,Dr Reddys Laboratories,NSE
CIPLA,Cipla,NSE
SBILIFE,SBI Life Insurance,NSE
HDFCLIFE,HDFC Life Insurance,NSE
EICHERMOT,Eicher Motors,NSE
BRITANNIA,Britannia Industries,NSE
DIVISLAB,Divis Laboratories,NSE
APOLLOHOSP,Apollo Hospitals Enterprise,NSE
BAJAJ-AUTO,Bajaj Auto,NSE
HEROMOTOCO,Hero MotoCorp,NSE
TATACONSUM,Tata Consumer Products,NSE
INDUSINDBK,IndusInd Bank,NSE
BPCL,Bharat Petroleum Corporation,NSE
SHRIRAMFIN,Shriram Finance,NSE
DMART,Avenue Supermarts,NSE
ZOMATO,Zomato,NSE
PAYTM,One97 Communications (Paytm),NSE
IRCTC,Indian Railway Catering and Tourism Corporation,NSE
HAL,Hindustan Aeronautics,NSE
BEL,Bharat Electronics,NSE
VEDL,Vedanta,NSE
JIOFIN,Jio Financial Services,NSE
